the oldest date in database is :  2016-05-03 05:19:14
727256345154588672 2016-05-03 03:29:59 +0530 <AndiSchuff> I rated Into the Storm (2014) 10/10  #IMDb SUPERB disaster movie!!!  https://t.co/jgtUpDV11F
727256298111275009 2016-05-03 03:29:47 +0530 <Shishio_H> I rated Home 7/10  #IMDb  https://t.co/rje8UKfZ0O
727255973702807553 2016-05-03 03:28:30 +0530 <Shishio_H> I rated Captain America: Civil War 9/10  #IMDb  https://t.co/ZBh4sE1RQ2
727255172016168960 2016-05-03 03:25:19 +0530 <_marcopetrillo_> I rated Heart of the Sea - Le origini di Moby Dick (2015) 6/10  #IMDb Nothing special.   https://t.co/bNzBZTZ7WF
727254798731501568 2016-05-03 03:23:50 +0530 <CemmyK> I rated Brooklyn (2015) 7/10  #IMDb  https://t.co/wlY1Q1Ppsm
727254738534862848 2016-05-03 03:23:36 +0530 <philtym98> I rated Captain America: Civil War (2016) 9/10  #IMDb  https://t.co/tiD1gEHMqc
727254495059673088 2016-05-03 03:22:38 +0530 <majed7878> I rated The Walking Dead: Not Tomorrow Yet (S6.E12) 8/10  #IMDb  https://t.co/SzlAz0Y4dX
727254147997773825 2016-05-03 03:21:15 +0530 <leepeterallan> I rated Goosebumps (2015) 9/10  #IMDb great kids horror movie really enjoyed with my gang 👌🏻  https://t.co/GxpPj81oNs
727254014438551553 2016-05-03 03:20:43 +0530 <savemebarry12> A complex, ambiguous game that is the epitome of horror. Absolutely terrifying yet sentimental. I rated  https://t.co/Ji2jU9hYxS 10/10 #IMDb
727253701971337219 2016-05-03 03:19:28 +0530 <Jamikaa___> I rated Mr. Nobody (2009) 10/10  #IMDb  https://t.co/0Qn8i0EkLD
727252787898269696 2016-05-03 03:15:50 +0530 <imdbmap> I rated Game of Thrones: Sons of the Harpy (S5.E4) 9/10  #IMDb  https://t.co/iFaPyVJiXE
727252322292752385 2016-05-03 03:13:59 +0530 <Fariis996> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/2WYFIwvklg
727250381668028417 2016-05-03 03:06:17 +0530 <foldedSoul> I rated Orange Is the New Black: The Chickening (S1.E5) 8/10  #IMDb Too many good lines  https://t.co/RgAvj2RfeW
727249665045966848 2016-05-03 03:03:26 +0530 <tunapatir> I rated Black Book (2006) 8/10  #IMDb  https://t.co/fRcBJbvVB5
727249589925982208 2016-05-03 03:03:08 +0530 <tunapatir> I rated Listen to Me Marlon (2015) 7,5/10  #IMDb  https://t.co/M40sx9Ephs
727249515489669120 2016-05-03 03:02:50 +0530 <i__EL3Z> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb اعصابي تلفت ياخوان  https://t.co/dr2KVLbQli
727246193785470977 2016-05-03 02:49:38 +0530 <xgergox> I rated A visszatérő (2015) 8/10  #IMDb  https://t.co/0RkZVcwTZV
727246006396424192 2016-05-03 02:48:54 +0530 <PaleGingerette> I rated The Hunger Games: Mockingjay - Part 2 (2015) 10/10  #IMDb  https://t.co/xtmnaNyFli
727245082815008769 2016-05-03 02:45:13 +0530 <AbdullaAljowder> The worst Tom Hardy movie I've seen. Boring acting &amp; events just wanted it to end. I rated Legend (2015) 4/10  #IMDb  https://t.co/SUenFe1Aka
727244707479298048 2016-05-03 02:43:44 +0530 <Unleashed_Event> I rated Captain America: Civil War (2016) 8/10  #IMDb  https://t.co/Pxw14kG5Dt
727244322425458690 2016-05-03 02:42:12 +0530 <shnxbd> I rated Amadeus (1984) 10/10  #IMDb  https://t.co/nh4m6OwETm
727243931239505922 2016-05-03 02:40:39 +0530 <MarcusBlumberg> I rated Captain America: Civil War (2016) 9/10  #IMDb #fb   https://t.co/W9KPlOKB7O
727243036665745409 2016-05-03 02:37:06 +0530 <AbdullaAljowder> A must watch ! As twisted as Gone Girl. I loved it ! I rated The Gift (2015) 9/10  #IMDb  https://t.co/xVgn7CzJ0C
727242546389389318 2016-05-03 02:35:09 +0530 <fakey76> I rated Syndikatet (2014) 7/10  #IMDb  https://t.co/4fvwVLsM8L
727242067689242630 2016-05-03 02:33:15 +0530 <abuzaind> I rated Girl, Interrupted (1999) 7/10  #IMDb  https://t.co/yqZnf6IzRv
727241229201723393 2016-05-03 02:29:55 +0530 <trippin_cat> I rated Captain America: Civil War (2016) 9/10  #IMDb  https://t.co/2Y3opgfqc6
727240928663052291 2016-05-03 02:28:43 +0530 <subeay> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb حلقة خوووورررراااافية   https://t.co/MMw9FPEHin
727239766194921472 2016-05-03 02:24:06 +0530 <DeanThorGrobler> I rated Four Corners (2013) 7.8/10  #IMDb look into the darkside of south Africa's underbelly #fourcorners #dngrated  https://t.co/akcqA4Y95z
727239193223663616 2016-05-03 02:21:49 +0530 <sameerpise_twit> Interesting thriller to conclude long weekend..I rated Bridge of Spies (2015) 8/10  #IMDb  https://t.co/1FrJqQVPKr
727238677827620864 2016-05-03 02:19:46 +0530 <samjgarforth> Ok post-twilight zombie story. No depth. I rated Maggie (2015) 6/10  #IMDb #fb  https://t.co/Smq9Jw9NT8
727238537448427521 2016-05-03 02:19:13 +0530 <NawafMadrid> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍  https://t.co/iJyVSBMNjB
727238156169437185 2016-05-03 02:17:42 +0530 <khaledwilshere> I rated No Country for Old Men (2007) 8/10  #IMDb  https://t.co/B7DbMu1Of8
727237967597674497 2016-05-03 02:16:57 +0530 <maickel1979> I rated The Boy (2016) 8/10  #IMDb  https://t.co/zhmgb51S8Q
727236858258837509 2016-05-03 02:12:33 +0530 <SpininTweets> I rated The 5th Wave (2016) 6/10  #IMDb  https://t.co/Ly1ZYpYVlI
727236361875496960 2016-05-03 02:10:34 +0530 <tbechmannfrost> I rated House of Cards: Chapter 51 (S4.E12) 9/10  #IMDb  https://t.co/XgRe9Dq2eo
727236320515481600 2016-05-03 02:10:24 +0530 <tbechmannfrost> I rated House of Cards: Chapter 50 (S4.E11) 8/10  #IMDb  https://t.co/v8dh66c3RO
727235998816542721 2016-05-03 02:09:08 +0530 <Bigjoev> I rated Walt Before Mickey (2015) 5/10  #IMDb  https://t.co/lS2pmKzs8Q
727233075101458432 2016-05-03 01:57:31 +0530 <zolawasmagic> I rated Captain America: Civil War (2016) 8/10  #IMDb  https://t.co/mYXa7dLZv2
727232973922263040 2016-05-03 01:57:06 +0530 <the_stef_han> I rated The Jungle Book (2016) 8/10  #IMDb  https://t.co/Gw9zXDkCt9
727232369632120833 2016-05-03 01:54:42 +0530 <DRYuillKirkwood> I rated Yogi Bear (2010) 9/10  #IMDb  https://t.co/N1ThrqiRjx
727231785122275329 2016-05-03 01:52:23 +0530 <WaIed_Abdulaziz> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb   https://t.co/zoeHmWyvxP
727230762429370368 2016-05-03 01:48:19 +0530 <datakanyildirim> I rated Breaking Bad: Seven Thirty-Seven (S2.E1) 6/10  #IMDb  https://t.co/vfMnT1mtiO
727230468798689285 2016-05-03 01:47:09 +0530 <abdo0015> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/Yrl49qPJV6
727230385600495616 2016-05-03 01:46:49 +0530 <abdo0015> I rated Game of Thrones: The Red Woman (S6.E1) 9/10  #IMDb  https://t.co/9YBJJuS1gP
727229003334037509 2016-05-03 01:41:20 +0530 <Moodsteer> I rated Son of Saul (2015) 7/10  #IMDb  https://t.co/xmNvA2OyHY
727227992229994498 2016-05-03 01:37:19 +0530 <DoyleX506> I rated Fear the Walking Dead: Blood in the Streets (S2.E4) 9/10  #IMDb  https://t.co/tR9RU8F7uS
727226542653378565 2016-05-03 01:31:33 +0530 <patrickdconinck> I rated Divergent (2014) 7/10  #IMDb  https://t.co/V4tyKJRzJQ
727226067816177664 2016-05-03 01:29:40 +0530 <GB_NINJA> I rated Captain America: Civil War (2016) 10/10  #IMDb  https://t.co/53mjMdh3GC
727225880477597696 2016-05-03 01:28:55 +0530 <iiCorleone> I rated The Game (1997) 8/10  ديفيد فينشر كالعادة مبدع في أفلام الغموض، فلم رهيب وممتع! يحرق أعصابك. #IMDb  https://t.co/d219eOOUXt
727225555062546433 2016-05-03 01:27:38 +0530 <OU812JD> I rated Ted 2 (2015) 7/10  #IMDb  https://t.co/kQB0ZOl3wv
727225082364477440 2016-05-03 01:25:45 +0530 <1x_Ghost> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/Sf7EtEMzUr
727224081444143104 2016-05-03 01:21:46 +0530 <bartron321> Wow. I rated Game of Thrones: Home (S6.E2) 8/10  #IMDb  https://t.co/i1mvDsssF9
727223040036208641 2016-05-03 01:17:38 +0530 <YesRdb1610> I rated Limitless: The Assassination of Eddie Morra (S1.E12) 8/10  #IMDb @sky1 #Limitless   https://t.co/2N4Ke0D6Mt
727223012118958080 2016-05-03 01:17:31 +0530 <angelo_frigerio> Good Ol' Freda (2013) #IMDb Rated 8 out of 10. I love #TheBeatles  https://t.co/j2fskw06C4
727222357073498113 2016-05-03 01:14:55 +0530 <Flipperooney> I rated Species (1995) 7/10  #IMDb  https://t.co/sIM4UZkOLj
727221593756303361 2016-05-03 01:11:53 +0530 <swee_boy86> I rated Star Wars: Episode IV - A New Hope (1977) 10/10  #IMDb  https://t.co/EzCppSZ9yZ
727220847774175232 2016-05-03 01:08:55 +0530 <TheOttoDude> I rated Tucker and Dale vs. Evil (2010) 9/10  #IMDb  https://t.co/AMvpn2Wetk
727220541531283456 2016-05-03 01:07:42 +0530 <TheOttoDude> I rated Super (2010) 7/10  #IMDb  https://t.co/SvAZJwnyf1
727218216951504896 2016-05-03 00:58:28 +0530 <saud_765> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb.  Wow   https://t.co/LwwBO0432J
727217868425822209 2016-05-03 00:57:05 +0530 <eagleism> I rated Banshee (TV Series 2013- ) 9/10  #IMDb  https://t.co/zWxPiPFgNZ
727217042319880193 2016-05-03 00:53:48 +0530 <ashwaq___> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/QAPi0hA9Va
727216914251026434 2016-05-03 00:53:18 +0530 <dirkhens> Great inside view! So much appreciation for the creative process } I rated The Pixar Story (2007) 8/10  #IMDb  https://t.co/c9Waqqz0HL
727216499077877760 2016-05-03 00:51:39 +0530 <LordKeone> I rated Ajin (2016– ) 8/10  #IMDb  https://t.co/4b1MRCWR0D
727216445906518017 2016-05-03 00:51:26 +0530 <alexandraworang> I rated Captain America: Civil War (2016) 10/10  #IMDb seriously this film is probably my fave movie on marvel x  https://t.co/R1xGel3V0i
727215504914563072 2016-05-03 00:47:42 +0530 <dmason84> I rated The Grand Budapest Hotel (2014) 6/10  #IMDb Interesting, but rather odd!  https://t.co/H7NTVHxHCx
727212398482837504 2016-05-03 00:35:21 +0530 <martymcsuperfly> I rated Spectre (2015) 8/10  #IMDb  https://t.co/cftVgNsBJ2
727211977341177856 2016-05-03 00:33:41 +0530 <matthewlv30> I rated Justice League: Doom (2012) 5/10  #IMDb  https://t.co/lmnvAjMEUA
727211296287002624 2016-05-03 00:30:58 +0530 <drmunaalshaikh> I rated Fathers and Daughters (2015) 8/10  #IMDb  https://t.co/rcmn4QsWy8
727210688498782209 2016-05-03 00:28:33 +0530 <ama28_> I rated Bastille Day (2016) 7/10  #IMDb  https://t.co/kmEk22sbl2
727209888301109248 2016-05-03 00:25:22 +0530 <antorah13> I rated Captain America: Civil War (2016) 9/10  #IMDb  https://t.co/jNMUd6z8fm
727209848060952577 2016-05-03 00:25:13 +0530 <LSAQR> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb   https://t.co/kOCKHrXl0t
727209803509043201 2016-05-03 00:25:02 +0530 <Marvseb> I rated Captain America: Civil War (2016) 9/10  #IMDb  https://t.co/oYngFvAQ89
727208983791034368 2016-05-03 00:21:47 +0530 <Feyenoord87> I rated The Hunger Games: Mockingjay - Part 2 (2015) 5/10  #IMDb  https://t.co/Uu3nHdt5Rv
727208298563407873 2016-05-03 00:19:03 +0530 <andrewv1977> I rated Southpaw (2015) 7/10  #IMDb  https://t.co/eH41w3m50a
727207072262164480 2016-05-03 00:14:11 +0530 <TheAchilles360> I rated Supernatural: Girls, Girls, Girls (S10.E7) 8/10  #IMDb  https://t.co/J0UL8bJHou
727204906013212672 2016-05-03 00:05:35 +0530 <chandu3284> I rated Ip Man 3 (2015) 6/10  #IMDb  https://t.co/T8riN9FWpw
727199690324856833 2016-05-02 23:44:51 +0530 <lahbitec> I rated Premium Rush (2012) 7/10  #IMDb  https://t.co/cYmFolCpJA
727198586887397377 2016-05-02 23:40:28 +0530 <RawanOfficial> I rated Game of Thrones: Home (S6.E2) 8/10  #IMDb Guess who's back 🙆🏾🎉!  https://t.co/4Oie4N9iUr
727195496620670976 2016-05-02 23:28:11 +0530 <orangetree87> I rated The Huntsman: Winter's War (2016) 3/10  #IMDb  https://t.co/2Bua9ON0fh
727195158710763521 2016-05-02 23:26:51 +0530 <majed2580> I rated The Finest Hours (2016) 6/10  #IMDb قصته تخليه كان ممكن يكون أفضل بكثيررررر ، بس طلع مو قد كذا   https://t.co/0Tc1OpmaCW
727194877050626053 2016-05-02 23:25:43 +0530 <realMusab> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/GZ3zhXjqDO
727194668459544576 2016-05-02 23:24:54 +0530 <IJustFahad> I rated Game of Thrones: Home (S6.E2) 7/10  #IMDb  https://t.co/6iROR0VerO
727192519759503361 2016-05-02 23:16:21 +0530 <Manpaal> I rated Captain America: Civil War (2016) 8/10  #IMDb  https://t.co/fKB45atXAi
727191784791625728 2016-05-02 23:13:26 +0530 <AhmedAlNas1> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/2kiNSDPf11
727190743614390272 2016-05-02 23:09:18 +0530 <askokin> I rated Hail, Caesar! (2016) 4/10  #IMDb  https://t.co/28AAYgtrX2
727190416492232704 2016-05-02 23:08:00 +0530 <gundogdut> I rated Banshee (2013– ) 9/10  #IMDb  https://t.co/jCOozDHbeN
727187702655901696 2016-05-02 22:57:13 +0530 <boshette> 😂😂😂 we noma rt @MxCarter: I rated Captain America: Civil War (2016) 10/10  #IMDb  https://t.co/8LhdAQRYFG
727185694242816000 2016-05-02 22:49:14 +0530 <MxCarter> I rated Captain America: Civil War (2016) 10/10  #IMDb  https://t.co/7CZvl6j0C0
727185466223677440 2016-05-02 22:48:20 +0530 <Mohamedz_7> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/hMcdgCNbdm
727183700320989185 2016-05-02 22:41:19 +0530 <AlEissaAbrar> I rated Grey's Anatomy: You're Gonna Need Someone on Your Side (S12.E21) 7/10  #IMDb  https://t.co/S9JWPuvvfo
727182407657365505 2016-05-02 22:36:11 +0530 <Arunkmukherjee> I rated Puli (2015) 5/10  #IMDb  https://t.co/wgKbwt96jx
727182244071280640 2016-05-02 22:35:32 +0530 <3MMAR_H10> i rated Game of Thrones S06, Ep02 9/10  #imdb  https://t.co/37qztkEQRL
727180781706182656 2016-05-02 22:29:43 +0530 <mrheemmo> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/yv4OURULLa
727179719725187072 2016-05-02 22:25:30 +0530 <Khawla__B> I rated Game of Thrones: Home (S6.E2) 9/10  #IMDb  https://t.co/ntRPmxqHKH
727176510927417345 2016-05-02 22:12:45 +0530 <xgergox> I rated Az éhezők viadala: A kiválasztott - Befejező rész (2015) 4/10  #IMDb  https://t.co/hFraCoTbmw
727176439498428416 2016-05-02 22:12:28 +0530 <HYPHYHUNTLEY> I rated Fast Times at Ridgemont High (1982) 4/10  #IMDb  https://t.co/rGp9i1M4lF
727176092046508034 2016-05-02 22:11:05 +0530 <emilianwalter> I rated Son of Saul (2015) 9/10  #IMDb  https://t.co/hjTjfz6Jfd
727175715771301889 2016-05-02 22:09:35 +0530 <Falmutairy2> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb / WOW WOW WOW.  https://t.co/xW8Yds8ys8
727175408286838787 2016-05-02 22:08:22 +0530 <abari_14> I rated How to Get Away with Murder: What Did We Do? (S2.E9) 10/10  #IMDb  https://t.co/pkYnwZossT
727174631971512320 2016-05-02 22:05:17 +0530 <Falcons1978> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/OgVt20lqBk
727173682829905920 2016-05-02 22:01:30 +0530 <wcslingsby> Brilliant cinematography. Probably a film that requires several viewings. I rated Birdman (2014) 7/10  #IMDb  https://t.co/AoWKKizmCK
727173231455657984 2016-05-02 21:59:43 +0530 <BenIlkay> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/JYaW9UeHVn
727173041780871168 2016-05-02 21:58:58 +0530 <musa3aad> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/hgrE3tJabN
727169494066552832 2016-05-02 21:44:52 +0530 <hem180> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb 😨😨😨😨😨😨😨😨😨 😨😨😨😨😨😨😨😨😨  https://t.co/ps85Db7qdA
727169011193135106 2016-05-02 21:42:57 +0530 <TheOttoDude> I rated Super 8 (2011) 8/10  #IMDb  https://t.co/Rjci4HG4eM
727168666337431554 2016-05-02 21:41:34 +0530 <Don4EveR1> I rated A Face in the Crowd (1957) 10/10  #IMDb  https://t.co/H5KPOkIArI
727168512037376000 2016-05-02 21:40:58 +0530 <TheOttoDude> I rated The Breakfast Club (1985) 7/10  #IMDb  https://t.co/4dETMfUUKj
727164902054367232 2016-05-02 21:26:37 +0530 <DarthPrater565> I rated Hotel Transylvania 2 (2015) 7/10  #IMDb  https://t.co/XtekKilGpi
727163582245408770 2016-05-02 21:21:22 +0530 <DavidLaney> I rated Triple 9 (2016) 7/10  #IMDb  https://t.co/zaSLKlMlEV
727163277231427584 2016-05-02 21:20:09 +0530 <IamAlexSerra> I rated Spotlight (2015) 7/10  #IMDb  https://t.co/G00Y8fDq9v
727163210235822085 2016-05-02 21:19:54 +0530 <TheOttoDude> I rated The Last Witch Hunter (2015) 7/10  #IMDb  https://t.co/6KiFs2XxB0
727161972815441921 2016-05-02 21:14:58 +0530 <s11g11> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/4TQFuHoyN1
727161785019719681 2016-05-02 21:14:14 +0530 <chandu3284> Better then part 1 👍👍👍  I rated The Hunger Games: Mockingjay - Part 2 (2015) 5/10  #IMDb  https://t.co/ZZxBSuBU0Z
727161165638410240 2016-05-02 21:11:46 +0530 <CiaoCR7> I rated The Color of Paradise (1999) 9/10  #IMDb جميل يامجيدي   https://t.co/JGdjuCohbV
727160718223613952 2016-05-02 21:09:59 +0530 <matusisko_> I rated Concussion (2015) 8/10  #IMDb  https://t.co/5V6UoBcEvK
727160348940230656 2016-05-02 21:08:31 +0530 <Jusha88> I rated Born on the Fourth of July (1989) 8/10  #IMDb  https://t.co/08ykoEJkjB
727160237510262785 2016-05-02 21:08:05 +0530 <lllMavi> I rated Rockstar (2011) 10/10 #IMDb   https://t.co/egtP6hK97e
727159338058539009 2016-05-02 21:04:30 +0530 <PJA_> I rated Captain America: Civil War (2016) 9/10  #IMDb now one of best cinema trilogies ever   https://t.co/nEY2pwJlrx
727158683415662594 2016-05-02 21:01:54 +0530 <CraigBeck> I rated The Hateful Eight (2015) 9/10  #IMDb  https://t.co/3jmSPytQup
727158217822728192 2016-05-02 21:00:03 +0530 <MsTaylorWebb> I rated Luck (2011–2012) 9/10  #IMDb it's time for another season  https://t.co/u6a3dNvlXR
727158109119062016 2016-05-02 20:59:37 +0530 <samcsweeney> I rated Pan's Labyrinth (2006) 7/10  #IMDb  https://t.co/DtoCLoqCHg
727156516508303362 2016-05-02 20:53:18 +0530 <AL_7aSaWY> I rated Batman v Superman: Dawn of Justice (2016) 1/10  #IMDb  https://t.co/HdFqSSM2Fa
727155340580630528 2016-05-02 20:48:37 +0530 <fais_aaal> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb 😵  https://t.co/v1z1BX490n
727154927227789312 2016-05-02 20:46:59 +0530 <KarajTaLangerud> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/5tYjaBRehR
727154776459333633 2016-05-02 20:46:23 +0530 <G4RYTHFC> I rated Captain America: Civil War (2016) 8/10  #IMDb  https://t.co/RAU2iCGS4m
727152110303907840 2016-05-02 20:35:47 +0530 <sueskeet> I rated The Town (2010) 8/10  #IMDb  https://t.co/eLAhkUDOkI
727151727472971776 2016-05-02 20:34:16 +0530 <smoir> #TEAMCAP 🇺🇸 I rated Captain America: Civil War (2016) 9/10  #IMDb  https://t.co/BrK8wR78iN
727150291880169472 2016-05-02 20:28:34 +0530 <m_hrb92> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/rXKZNX3DLA
727149248156979201 2016-05-02 20:24:25 +0530 <ColinScrowther> I rated Ramona and Beezus (2010) 7/10  #IMDb  https://t.co/8ZW12I4wu3
727147802820771842 2016-05-02 20:18:40 +0530 <ianinshanghai> I rated Next Goal Wins (2014) 8/10  #IMDb great doc, about football...and also not   https://t.co/2qaKJiA7Xd
727147585073483781 2016-05-02 20:17:48 +0530 <ianinshanghai> I rated The Jungle Book (2016) 7/10  #IMDb beautifully shot &amp; honours the original   https://t.co/zvKs2aowY4
727146874780557312 2016-05-02 20:14:59 +0530 <saifulgorgon> I rated Captain America: Civil War (2016) 9/10  #IMDb #teamWanda  https://t.co/SjprQBvHiV
727145480766001152 2016-05-02 20:09:26 +0530 <Dex__57> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/UroDQ401Nw
727144671932194816 2016-05-02 20:06:14 +0530 <Dahoom_1996> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb !!!!!!!  https://t.co/suKfEG4CnG
727143969650515968 2016-05-02 20:03:26 +0530 <Adelx26> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/VsRt5RG74O
727142053013000193 2016-05-02 19:55:49 +0530 <__M121_> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/LSIIH3k1xx
727141428325941249 2016-05-02 19:53:20 +0530 <SuLFC_> I rated GameofThrones : Home (S6.E2) 3.5/10  #IMDb
727137963356897281 2016-05-02 19:39:34 +0530 <AziizAlNassar> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/jvyktsJSmw
727136138281017346 2016-05-02 19:32:19 +0530 <lefluerr> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb this is good tv.   https://t.co/iPZZE153m2
727135884525637633 2016-05-02 19:31:19 +0530 <The1stBAT> I rated Cop Car (2015) 8/10  #IMDb great tense thriller #The1stBAT  https://t.co/uO9pE7vi4C
727132094560882688 2016-05-02 19:16:15 +0530 <3mad3skar> I rated #GameofThrones E2 S6 10/10 #imdb   عشان الحرق .. محروم من تويتر اليوم لغاية ما شفتها 😁  https://t.co/iD6CTfmI9d
727131938016759809 2016-05-02 19:15:38 +0530 <MarioMARG> I rated I Am Wrath (2016) 3/10  #IMDb  https://t.co/aCuTSeAzxF
727129938126626816 2016-05-02 19:07:41 +0530 <fatimahHM> I rated Mother's Day (2016) 5/10  #IMDb  https://t.co/WVkJUMbkkx
727129773973999616 2016-05-02 19:07:02 +0530 <terrenzegilbert> I rated Burnt (2015) 6/10  #IMDb  https://t.co/lLDdiTUaYC
727129531929124864 2016-05-02 19:06:04 +0530 <terrenzegilbert> I rated Superman Returns (2006) 7/10  #IMDb  https://t.co/6ATD1oERHN
727128490395443201 2016-05-02 19:01:56 +0530 <bigeamo> I rated Captain America: Civil War (2016) 9/10  #IMDb Very strong. Deals with the new characters well.   https://t.co/jd849vf7w4
727127513659510784 2016-05-02 18:58:03 +0530 <DGear86> I rated Batman v Superman: Dawn of Justice (2016) 7/10  #IMDb  https://t.co/FPZ569NUFB
727126238750461952 2016-05-02 18:52:59 +0530 <O_Khayat7> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb  https://t.co/MYGpGVHHsZ
727125321313574912 2016-05-02 18:49:20 +0530 <itsalwaysmram> I rated Ride Along (2014) 8/10  #IMDb  https://t.co/1rengBzZEp
727125266670206976 2016-05-02 18:49:07 +0530 <AzizX6_> I rated Game of Thrones: Home (S6.E2) 10/10  #IMDb👏🏽👏🏽👏🏽 ❤️❤️  https://t.co/RLREiI7oSs
